3661301017521000077,"1 441 474,18 ",11.10.2021,31.12.2021,Электронный аукцион,"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР ОБЕСПЕЧЕНИЯ ДЕЯТЕЛЬНОСТИ АДМИНИСТРАЦИИ КАМЫШЛОВСКОГО ГОРОДСКОГО ОКРУГА""",Кузьминых Елена Викторовна,6613010175,661300116370,13.05.2009,"['- Свердловская 66, - Екатеринбург']",8-912-2643598,elenakuzminukh@mail.ru,68.10.11.000,1
3661201544517000011,"5 579 440,65 ",17.01.2017,30.06.2017,Электронный аукцион,"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ ГОРОДСКОГО ХОЗЯЙСТВА""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГОРСВЕТ"" (ООО ""ГОРСВЕТ"")",6612015445,6678065937,24.11.2015,"['620017, обл СВЕРДЛОВСКАЯ 66, г ЕКАТЕРИНБУРГ, пер ПОЛИМЕРНЫЙ, ДОМ 4, ОФИС 210']",7-912-2081777,k.medvedeva@svrsk.ru,43.21.10.220,Содержание и ремонт объектов наружного освещения в муниципальном образовании город Каменск-Уральский
1667008196921000039,"1 779 012,59 ",14.10.2021,31.12.2021,Электронный аукцион,"ФЕДЕРАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""ЦЕНТР ГИГИЕНЫ И ЭПИДЕМИОЛОГИИ В СВЕРДЛОВСКОЙ ОБЛАСТИ""",КОЛЕДОВ ЯН ЕВГЕНЬЕВИЧИндивидуальный предприниматель,6670081969,667476876400,06.04.2018,"['ОБЛ СВЕРДЛОВСКАЯ 66, Г ЕКАТЕРИНБУРГ']",7-922-6164669,koledovjan@gmail.ru,41.20.40.900,1
1666901352322000013,"3 912 850,00 ",18.02.2022,31.12.2022,"Закупка у единственного поставщика (подрядчика, исполнителя)","ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ИСПРАВИТЕЛЬНАЯ КОЛОНИЯ № 6 ГЛАВНОГО УПРАВЛЕНИЯ ФЕДЕРАЛЬНОЙ СЛУЖБЫ ИСПОЛНЕНИЯ НАКАЗАНИЙ ПО СВЕРДЛОВСКОЙ ОБЛАСТИ""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВОДОКАНАЛ-НТ"" (ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВОДОКАНАЛ-НТ"")",6669013523,6623034200,13.09.2006,"['622001, ОБЛ СВЕРДЛОВСКАЯ 66, Г НИЖНИЙ ТАГИЛ, УЛ КРАСНОАРМЕЙСКАЯ, 45А']",7-3435-230730,нет@mail.ru,36.00.20.130,1
3663203012017000008,"1 031 060,00 ",20.04.2017,31.12.2017,Электронный аукцион,"МУНИЦИПАЛЬНОЕ АВТОНОМНОЕ ДОШКОЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ДЕТСКИЙ САД ОБЩЕРАЗВИВАЮЩЕГО ВИДА С ПРИОРИТЕТНЫМ ОСУЩЕСТВЛЕНИЕМ ДЕЯТЕЛЬНОСТИ ПО ПОЗНАВАТЕЛЬНО-РЕЧЕВОМУ НАПРАВЛЕНИЮ РАЗВИТИЯ ДЕТЕЙ № 25 ""ДЕЛЬФИНЧИК""",Окулов Владимир ЮрьевичИндивидуальный предприниматель,6632030120,661709514820,04.10.2012,"['624930, Свердловская область, г.Карипинск, улМира 81-14']",7-34385-34000,65453525@mail.ru,10.11.31.130,Поставка говядины свежемороженой бескостной 1 категории (лопатка)
3666205425616000103,"3 110 659,20 ",05.08.2016,31.12.2016,"Закупка у единственного поставщика (подрядчика, исполнителя)","МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""ЦЕНТРАЛЬНАЯ ГОРОДСКАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА № 1 ОКТЯБРЬСКОГО РАЙОНА""","""Фирма ЕВРОСЕРВИС""",6662054256,7731241639,02.10.2002,"['121357, город федерального значения Москва-столица Российской Федерации, 121357, Российская Федерация, г. Москва, ул.Вересаева, дом 8']",8-343-2335933,kolupaeva@euro-service.ru,21.20.10.213,иммуноглобулин человека нормальный
2666100455919000052,"31 215 766,04 ",13.11.2019,30.12.2019,Электронный аукцион,"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ  СВЕРДЛОВСКОЙ ОБЛАСТИ ""УПРАВЛЕНИЕ КАПИТАЛЬНОГО СТРОИТЕЛЬСТВА СВЕРДЛОВСКОЙ ОБЛАСТИ""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МЕДИЦИНСКИЕ ПРОЕКТЫ""",6661004559,6670253791,30.04.2009,"['620137,  ОБЛ СВЕРДЛОВСКАЯ66,  Г ЕКАТЕРИНБУРГ,  УЛ ДАНИЛЫ ЗВЕРЕВА,  31,  6,']",73432017365,med.proekt@mail.ru,,"Аппарат искусственной вентиляции легких, ручной, многоразового использования"
2667030834521000132,"1 260 025,20 ",01.07.2021,30.06.2022,"Закупка у единственного поставщика (подрядчика, исполнителя)","ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ СВЕРДЛОВСКОЙ ОБЛАСТИ ""МНОГОФУНКЦИОНАЛЬНЫЙ ЦЕНТР ПРЕДОСТАВЛЕНИЯ ГОСУДАРСТВЕННЫХ И МУНИЦИПАЛЬНЫХ УСЛУГ""","АКЦИОНЕРНОЕ ОБЩЕСТВО СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ""РЕГИОНАЛЬНАЯ СТРОИТЕЛЬНАЯ ГРУППА-АКАДЕМИЧЕСКОЕ"" (АО СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ""РСГ-АКАДЕМИЧЕСКОЕ"")",6670308345,6658328507,16.09.2008,"['620014, ОБЛ СВЕРДЛОВСКАЯ 66, Г ЕКАТЕРИНБУРГ, ПР-КТ ЛЕНИНА, 5, ЛИТЕР Л, ОФИС 301']",7-343-2311830,E.Sokolova@kortros.ru,68.20.12.000,1
1666801114618000020,"1 116 653,51 ",19.03.2018,31.12.2018,"Закупка у единственного поставщика (подрядчика, исполнителя)","МЕЖМУНИЦИПАЛЬНОЕ УПРАВЛЕНИЕ МИНИСТЕРСТВА ВНУТРЕННИХ ДЕЛ РОССИЙСКОЙ ФЕДЕРАЦИИ ""НИЖНЕТАГИЛЬСКОЕ""","АКЦИОНЕРНОЕ ОБЩЕСТВО ""РАСЧЕТНЫЙ ЦЕНТР УРАЛА"" (АО ""РЦ УРАЛА"")",6668011146,6659190330,01.09.2011,"['622002, ОБЛ СВЕРДЛОВСКАЯ 66, Г НИЖНИЙ ТАГИЛ, УЛ АГАНИЧЕВА, Д. 10А']",7-3435-246301,www.rcurala@yandex.ru,35.30.12.140,Услуги по подключению (технологическому присоединению) к централизованной системе горячего водоснабжения
1662502179919000001,"4 550 410,00 ",26.02.2019,31.12.2019,"Закупка у единственного поставщика (подрядчика, исполнителя)","ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""КОЛОНИЯ-ПОСЕЛЕНИЕ № 66 ГЛАВНОГО УПРАВЛЕНИЯ ФЕДЕРАЛЬНОЙ СЛУЖБЫ ИСПОЛНЕНИЯ НАКАЗАНИЙ ПО СВЕРДЛОВСКОЙ ОБЛАСТИ""","СВЕРДЛОВСКИЙ ФИЛИАЛ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЭНЕРГОСБЫТ ПЛЮС"" (СВЕРДЛОВСКИЙ ФИЛИАЛ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЭНЕРГОСБЫТ ПЛЮС"")",6625021799,5612042824,22.05.2014,"['620075, ОБЛ СВЕРДЛОВСКАЯ,Г. ЕКАТЕРИНБУРГ, УЛ. КУЗНЕЧНАЯ, Д. 92']",7-3439-669628,ekb@esplus.ru,35.12.10.110,Поставка электрической энергии
2666208106621000010,"17 077 500,00 ",02.02.2021,31.03.2022,Электронный аукцион,"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ СВЕРДЛОВСКОЙ ОБЛАСТИ ""ФОНД ЖИЛИЩНОГО СТРОИТЕЛЬСТВА""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СМУ 11""",6662081066,6673251792,15.12.2011,"['620012, Свердловская область, город Екатеринбург, площадь 1-й Пятилетки, литер 46']",8-906-8122733,eksnab-ab@mail.ru,68.10.11.000,1
3660200986919000049,"2 900 253,08 ",23.05.2019,28.06.2019,Электронный аукцион,"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ АРТЕМОВСКОГО ГОРОДСКОГО ОКРУГА ""ЖИЛКОМСТРОЙ""","Общество с ограниченной ответственностю ""Техпром"" (ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТЕХПРОМ"")",6602009869,6658392823,08.11.2017,"['620219, ОБЛ СВЕРДЛОВСКАЯ 66, Г ЕКАТЕРИНБУРГ, УЛ МАМИНА-СИБИРЯКА, ДОМ 58, ОФИС 706/1']",7-343-3825640,tehprom-info@inbox.ru,42.21.22.130,"Строительство объекта: ""Газопровод низкого давления по ул. Коммуны г. Артемовский  Свердловской области"""
2666402954420000037,"3 800 000,00 ",25.11.2020,31.12.2020,Электронный аукцион,"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ СТАЦИОНАРНОЕ УЧРЕЖДЕНИЕ СОЦИАЛЬНОГО ОБСЛУЖИВАНИЯ СВЕРДЛОВСКОЙ ОБЛАСТИ ""ЕКАТЕРИНБУРГСКИЙ ДЕТСКИЙ ДОМ-ИНТЕРНАТ ДЛЯ УМСТВЕННО ОТСТАЛЫХ ДЕТЕЙ""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРОФИТ""",6664029544,6623129564,30.01.2019,"['622051, ОБЛ СВЕРДЛОВСКАЯ, Г НИЖНИЙ ТАГИЛ, УЛ ИЛЬИЧА, ДОМ 32, КВАРТИРА 29']",7-912-2684190,shusivan@yandex.ru,,Работы электромонтажные
1664900337220000002,"1 058 120,64 ",24.12.2019,31.12.2020,Открытый конкурс в электронной форме,ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ - УПРАВЛЕНИЕ ПЕНСИОННОГО ФОНДА РОССИЙСКОЙ ФЕДЕРАЦИИ В Г. КАМЫШЛОВЕ СВЕРДЛОВСКОЙ ОБЛАСТИ (МЕЖРАЙОННОЕ),"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ЧАСТНОЕ ОХРАННОЕ ПРЕДПРИЯТИЕ ""СПЕЦИАЛЬНЫЙ ОТРЯД ОХРАНЫ ПРАВОПОРЯДКА РЫСЬ"" (ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ЧАСТНОЕ ОХРАННОЕ ПРЕДПРИЯТИЕ ""СПЕЦИАЛЬНЫЙ ОТРЯД ОХРАНЫ ПРАВОПОРЯДКА РЫСЬ"")",6613005016,6671168186,15.04.2005,"['620075, ОБЛ СВЕРДЛОВСКАЯ 66, Г ЕКАТЕРИНБУРГ, ПР-КТ ЛЕНИНА, 36, 13']",8-343-2687979,Rys-ekb@mail.ru,,Услуги частной охраны (Выставление поста охраны)
2666208106616000147,"1 246 528,00 ",14.11.2016,30.12.2016,Электронный аукцион,"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ СВЕРДЛОВСКОЙ ОБЛАСТИ ""ФОНД ЖИЛИЩНОГО СТРОИТЕЛЬСТВА""","ООО ""СУ ВТГРЭС""",6662081066,6616006219,18.11.2002,"['624162, Российская Федерация, Свердловская обл., г. Верхний Тагил, ул. Лесная, дом 19 , 2, ОКАТО: 65453503000']",+7(34357)24462,suvtgs@rambler.ru,68.10.11.000,"Приобретение жилого помещения на территории г.Асбеста  Свердловской области для детей-сирот и детей, оставшихся без попечения родителей,  лиц из числа детей-сирот и детей, оставшихся без попечения родителей, в соответствии с постановлением Правительства Свердловской области от 24.10.2013 г. № 1296-П..."
3660601895219000033,"1 836 973,20 ",18.10.2019,18.10.2021,"Закупка у единственного поставщика (подрядчика, исполнителя)","МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ КАПИТАЛЬНОГО СТРОИТЕЛЬСТВА ГОРОДСКОГО ОКРУГА ВЕРХНЯЯ ПЫШМА""","АКЦИОНЕРНОЕ ОБЩЕСТВО ""ОБЛКОММУНЭНЕРГО"" (АКЦИОНЕРНОЕ ОБЩЕСТВО ""ОБЛКОММУНЭНЕРГО"")",6606018952,6671028735,20.09.2017,"['620102, ОБЛ СВЕРДЛОВСКАЯ 66, Г ЕКАТЕРИНБУРГ, УЛ МОСКОВСКАЯ, ДОМ 48Г, ОФИС 1']",7-343-2860581,info@111.ru,35.12.10.120,Услуги по технологическому присоединению к распределительным электросетям
2666001041516000566,"8 265 120,00 ",19.10.2016,31.12.2016,Электронный аукцион,МИНИСТЕРСТВО ЗДРАВООХРАНЕНИЯ СВЕРДЛОВСКОЙ ОБЛАСТИ,"Общество с ограниченной ответственностью ""Компания ""Лига 7""",6660010415,6639015160,22.04.2011,"['620075, Российская Федерация, Свердловская обл., г. Екатеринбург, ул. Восточная, 56, 20, ОКАТО: 65401380000']",7-343-2424223,liga7@liga7.com,21.20.10.254,"ФОРМОТЕРОЛ	АТИМОС	аэрозоль для ингаляций дозированный 12 мкг/доза, 120 доз №1	Пр.,Перв.Уп.-Кьези Фармацевтичи С.п.А. - Италия;Втор.Уп.,Вып.к.-ОАО ""Фармстандарт-Лексредства"" - Россия."
2666208106619000101,"2 893 439,00 ",27.05.2019,31.07.2019,Электронный аукцион,"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ СВЕРДЛОВСКОЙ ОБЛАСТИ ""ФОНД ЖИЛИЩНОГО СТРОИТЕЛЬСТВА""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТРОЙТИЕРА""",6662081066,6670429646,21.10.2014,"['620075, ОБЛ СВЕРДЛОВСКАЯ, Г ЕКАТЕРИНБУРГ, УЛ МАМИНА-СИБИРЯКА, 52, ОФИС 409']",8-912-2216733,tsaregor31@gmail.com,68.10.11.000,"Приобретение жилых помещений на территории г.Тавды Свердловской области для детей-сирот и детей, оставшихся без попечения родителей,  лиц из числа детей-сирот и детей, оставшихся без попечения родителей, в соответствии с постановлением Правительства Свердловской области от 24.10.2013 г. № 1296-ПП ""О..."
3665836413519000002,"1 755 790,63 ",19.12.2019,31.12.2021,"Закупка у единственного поставщика (подрядчика, исполнителя)",МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ДОШКОЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ДЕТСКИЙ САД № 504,"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""Т ПЛЮС"" (ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""Т ПЛЮС"")",6658364135,6315376946,15.06.2015,"['143421, ОБЛ МОСКОВСКАЯ 50, Р-Н КРАСНОГОРСКИЙ, АВТОДОРОГА БАЛТИЯ, ТЕР 26 КМ БИЗНЕС-ЦЕНТР РИГА-ЛЕНД, СТРОЕНИЕ 3, ОФИС 506']",7-343-3555464,info@tplusgroup.ru,35.30.11.119,"Снабжение тепловой энергией и теплоносителем, в том числе как горячей водой на нужды горячего водоснабжения"
3661701913019000007,"2 994 000,00 ",28.01.2019,31.12.2019,"Закупка у единственного поставщика (подрядчика, исполнителя)","МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ ГОРОДСКОГО ХОЗЯЙСТВА""","АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЭНЕРГОСБЫТ ПЛЮС"" (АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЭНЕРГОСБЫТ ПЛЮС"")",6617019130,5612042824,22.05.2014,"['143421, ОБЛ МОСКОВСКАЯ 50, Р-Н КРАСНОГОРСКИЙ, - БАЛТИЯ, ТЕР 26 КМ БИЗНЕС-ЦЕНТР РИГА-ЛЕНД, СТРОЕНИЕ 3, ОФИС 513']",8-34383-33061,ekb@esplus.ru,35.14.10.000,Услуги по торговле электроэнергией
1666001346220000392,"1 241 848,30 ",29.06.2020,31.12.2020,Электронный аукцион,"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""ЦЕНТРАЛЬНАЯ МЕДИКО-САНИТАРНАЯ ЧАСТЬ № 31 ФЕДЕРАЛЬНОГО МЕДИКО-БИОЛОГИЧЕСКОГО АГЕНТСТВА""","АКЦИОНЕРНОЕ ОБЩЕСТВО ""Р-ФАРМ"" (АКЦИОНЕРНОЕ ОБЩЕСТВО ""Р-ФАРМ"")",6660013462,7726311464,31.10.2013,"['123154, Г МОСКВА 77, УЛ БЕРЗАРИНА, ДОМ 19, КОРПУС 1']",7-495-9567937,info@rpharm.ru,21.20.10.214,Симпони
